first_name,last_name,blood_type
Lane,Reese,A+
Desirae,Colon,AB+
Cole,Little,B+
Lane,Palmer,AB-
Shannon,Gibson,A+
Shannon,Reese,O-
Desirae,Pierce,AB-
Shannon,Palmer,AB+
Roary,Reese,B-
Ivor,Palmer,AB+
Roary,Little,B+
Lane,Palmer,A-
Mary,Reese,A-
Roary,Fry,O-
Shannon,Palmer,A-
Cole,Pierce,AB-
Roary,Reese,A+
Lane,Pierce,B-
Abdul,Fry,B-
Desirae,Gibson,B+
Abdul,Pierce,O+
Ivor,Colon,O-
Roary,Pierce,A-
Cole,Colon,AB+
Shannon,Reese,C+
Cole,Pierce,O-
Roary,Pierce,O-
Cole,Colon,A+
Cole,Reese,AB+
Shannon,Palmer,A+
Shannon,Pierce,O-
Shannon,Colon,B-
Lane,Gibson,O-
Shannon,Gibson,O-
Abdul,Palmer,O-
Cole,Little,A+
Desirae,Fry,O-
Ivor,Fry,O+
Roary,Palmer,AB+
Cole,Palmer,AB-
Cole,Palmer,A+
Cole,Reese,B+
Abdul,Pierce,O-
Cole,Palmer,AB+
Shannon,Colon,AB-
Lane,Reese,O-
Shannon,Fry,O-
Abdul,Pierce,AB+
Ivor,Reese,O+
Mary,Reese,O+
Cole,Little,O+
Ivor,Gibson,D-
Shannon,Palmer,A+
Ivor,Reese,O-
Cole,Gibson,A+
Shannon,Palmer,O-
Ivor,Pierce,A-
Lane,Colon,O+
Lane,Gibson,O-
Desirae,Fry,B-
Cole,Reese,O-
Roary,Palmer,AB+
Roary,Little,O+
Lane,Pierce,AB+
Cole,Palmer,O+
Shannon,Fry,B-
Lane,Pierce,B-
Cole,Reese,B-
Mary,Pierce,AB-
Mary,Colon,B+
Ivor,Pierce,O-
Shannon,Gibson,O-
Lane,Palmer,A-
Lane,Fry,O-
Mary,Pierce,O-
Lane,Little,B+
Desirae,Fry,A+
Shannon,Reese,AB+
Ivor,Colon,B-
Mary,Colon,B-
Ivor,Reese,O-
Abdul,Gibson,D-
Mary,Gibson,A+
Cole,Palmer,A-
Shannon,Little,A+
Lane,Gibson,A+
Abdul,Little,B-
Roary,Palmer,O-
Desirae,Pierce,B+
Shannon,Little,A-
Shannon,Little,A+
Desirae,Palmer,AB-
Ivor,Colon,O-
Roary,Colon,A-
Shannon,Palmer,B+
Roary,Palmer,A-
Roary,Colon,O+
Roary,Palmer,O+
Desirae,Pierce,AB+
Roary,Palmer,AB-
Lane,Reese,A+
Desirae,Gibson,O-
Shannon,Reese,O+
Roary,Little,B-
Lane,Reese,O-
Shannon,Colon,AB+
Ivor,Reese,AB-
Desirae,Palmer,A+
Abdul,Reese,B+
Mary,Reese,A+
Mary,Little,A+
Ivor,Fry,B+
Shannon,Colon,A+
Lane,Pierce,A+
Shannon,Pierce,O-
Ivor,Pierce,A+
Ivor,Gibson,AB+
Cole,Fry,AB-
Shannon,Palmer,A+
Desirae,Reese,AB+
Desirae,Gibson,B-
Shannon,Little,O-
Mary,Fry,O-
Cole,Gibson,O+
Roary,Little,A-
Desirae,Pierce,AB+
Lane,Fry,AB-
Abdul,Little,AB-
Cole,Gibson,B-
Shannon,Reese,O-
Roary,Colon,O-
Roary,Reese,O+
Desirae,Little,A+
Lane,Little,O-
Mary,Palmer,AB-
Lane,Gibson,A-
Roary,Pierce,A-
Shannon,Colon,AB-
Mary,Gibson,B-
Cole,Fry,AB-
Shannon,Colon,O-
Mary,Little,B-
Mary,Gibson,B-
Cole,Reese,O+
Abdul,Fry,O+
Abdul,Pierce,B+
Ivor,Palmer,O-
Abdul,Little,O+
Desirae,Pierce,A-
Cole,Gibson,A-
Mary,Palmer,B-
Desirae,Colon,O-
Cole,Pierce,A+
Lane,Little,O+
Mary,Gibson,AB+
Shannon,Fry,O-
Abdul,Little,B-
Desirae,Colon,B-
Desirae,Pierce,B+
Lane,Fry,AB+
Cole,Colon,B-
Lane,Colon,B+
Desirae,Fry,AB-
Shannon,Little,A-
Shannon,Little,B+
Shannon,Reese,B-
Roary,Reese,O-
Ivor,Colon,O+
Lane,Reese,O+
Desirae,Colon,A-
Desirae,Fry,O+
Ivor,Colon,A+
Shannon,Pierce,A+
Shannon,Palmer,A+
Ivor,Colon,AB-
Cole,Colon,O-
Cole,Little,A+
Lane,Little,A+
Ivor,Pierce,O-
Roary,Pierce,B-
Cole,Colon,B+
Ivor,Gibson,B+
Cole,Pierce,B-
Desirae,Little,A-
Abdul,Palmer,A+
Cole,Gibson,A-
Ivor,Reese,A+
Desirae,Little,O-
Abdul,Gibson,AB-
Lane,Reese,AB+
Ivor,Palmer,AB-
Desirae,Fry,O-
Cole,Fry,B-
Desirae,Gibson,B-
Desirae,Palmer,B+
Mary,Palmer,O+
Mary,Colon,A-
Cole,Reese,A-
Shannon,Pierce,B+
Ivor,Pierce,B+
Cole,Pierce,AB+
Shannon,Fry,O+
Desirae,Fry,A-
Mary,Colon,B+
Mary,Colon,AB+
Shannon,Palmer,B-
Abdul,Palmer,A+
Mary,Fry,O-
Desirae,Palmer,AB-
Mary,Little,A+
Mary,Pierce,AB-
Cole,Reese,A-
Mary,Fry,B-
Mary,Colon,O+
Roary,Colon,B+
Abdul,Pierce,B+
Roary,Palmer,A+
Abdul,Little,O+
Cole,Gibson,A+
