first_name,last_name,age,favorite_os,IQ
Steve,Cruz,63,iOS,125.0
Peyton,Evans,25,iOS,99.0
Archer,James,46,iOS,93.0
Tom,Miller,41,iOS,89.0
Leo,Nelson,42,iOS,108.0
Emmet,Watson,25,AndroidOS,
Brooke,Davis,54,Windows,100.0
Alby,Garcia,53,iOS,95.0
Millie,Garcia,58,iOS,87.0
Gracie,Stewart,59,iOS,126.0
Garett,Patel,45,iOS,111.0
Emma,Hernandez,58,AndroidOS,95.0
Mary,Gray,37,iOS,103.0
Natasha,Little,41,iOS,86.0
Payton,Smith,36,iOS,125.0
Legend,Mitchell,44,iOS,121.0
Braxton,Jimenez,28,AndroidOS,98.0
Olive,Jones,53,iOS,118.0
Weston,Phillips,57,AndroidOS,91.0
Hazel,Wood,67,iOS,90.0
Lincoln,,23,iOS,119.0
Eloise,Kelly,37,iOS,113.0
Bentley,Ruiz,69,Windows,
Mason,Adams,65,iOS,100.0
Rhett,Scott,35,iOS,121.0
Paul,Wilson,52,iOS,102.0
Hazel,Hernandez,24,iOS,125.0
Evelyn,Sanders,24,iOS,116.0
Lena,Hughes,27,AndroidOS,121.0
Robert,Hughes,33,AndroidOS,103.0
Alexis,Lopez,26,iOS,87.0
Micheal,Reyes,41,iOS,101.0
Gracie,Kim,53,AndroidOS,
Kinsley,Williams,30,AndroidOS,128.0
Easton,Chavez,63,iOS,91.0
Cole,Pierce,40,AndroidOS,115.0
Evelyn,Davis,32,AndroidOS,101.0
Waylon,Mitchell,20,iOS,109.0
Karter,Stewart,62,AndroidOS,87.0
Marley,Chavez,38,AndroidOS,86.0
Holden,Brown,23,iOS,88.0
Madison,Ross,35,iOS,93.0
Eleanor,Miller,59,iOS,109.0
Walker,Diaz,23,iOS,124.0
Lincoln,Howard,35,Windows,125.0
Marvin,Morgan,59,iOS,97.0
Weston,Patel,73,,119.0
Jonny,Powell,65,iOS,
Arthur,Patel,71,,
Olive,Castillo,41,iOS,86.0
Eleanor,Diaz,68,iOS,104.0
Natasha,Wood,27,AndroidOS,
Walker,Baker,72,,99.0
Lane,Campbell,41,iOS,103.0
Kinsley,Gomez,45,iOS,86.0
Andrea,Jones,38,Windows,95.0
Hunter,Walker,73,,89.0
